ID,Sample,Group,PlotID,SampleType,SampleType1,TimePoint,Year,Position,Soil moisture,Total carbon,Organic carbon,Total nitrogen,Ammonium,Nitrate,Soil respiration,Pathogen control,Aboveground productivity,Aerobic respiration,C degradation,C fixation,Fermentation,Methane metabolism,Assimilatory nitrate reduction,Denitrification,Dissimilatory nitrate reduction,Nitrification,Organic degradation and synthesis,Organic phosphoester hydrolysis,Oxidative phosphorylation,Pentose phosphate pathway,Phosphonate and phosphinate metabolism,Phosphotransferase system,Purine metabolism,Pyrimidine metabolism,Pyruvate metabolism,Transporters,Two component system,evenness,Multi_mean,Multi_thres,thr_0.1,thr_0.15,thr_0.2,thr_0.25,thr_0.3,thr_0.35,thr_0.4,thr_0.45,thr_0.5,thr_0.55,thr_0.6,thr_0.65,thr_0.7,thr_0.75,thr_0.8,thr_0.85,thr_0.9
X15,C18L12023A1,C_18_L1_2023,18,1,Degradation,T2,2023,E6,0.287501323,0.372921615,0.268019171,0.377777778,0.260286354,0.233013151,0.087114424,0.316925596,0,0.253213229,0.171455396,0.382076733,0.549059379,0.489226908,0.567162535,0.327849857,0.186118172,0.278014641,0.247455079,0.318169932,0.122641048,0.176669399,0.218330741,0.028793025,0.095017425,0.193357341,0.181675723,0.163695419,0.239687028,0.9642332,0.254938911,6.176470588,25,24,18,14,9,6,3,3,2,1,0,0,0,0,0,0,0
X16,C18L12024A1,C_18_L1_2024,18,1,Degradation,T3,2024,E6,0.552546682,0.116389549,0.100457294,0.088888889,0.573310763,1,0.130087179,0.228294011,0,0.589317858,0.165169753,1,0.924809956,0.872913935,1,0.494027215,0.052851545,0.445182932,0.092368663,0.475476977,0.018375614,0.218021214,0.176195406,0.017847189,0.04154595,0,0,0.656817367,0.943498278,0.8871164,0.378427387,10.52941176,20,17,15,13,13,13,13,12,10,10,7,7,6,6,6,6,5
X17,C22L12021A1,C_22_L1_2021,22,1,Degradation,T0,2021,E3,0.780300579,0.325415677,0.281146804,0.377777778,0.391800599,0.123283883,0.126952661,0.287602289,0,0.22323505,0.481898617,0.55732336,0.90259621,0.516692642,0.452793177,0.442665355,0.265484524,0.203393663,0.186364477,0.191878995,0.089480453,0.093916243,0.778297623,0.715369032,0.128203253,0.19832514,0.129929235,0.651056592,0.530393761,0.9435837,0.35977854,9.764705882,26,22,19,17,14,13,11,10,8,6,5,5,4,3,1,1,1
X18,C22L12022A1,C_22_L1_2022,22,1,Degradation,T1,2022,E3,0.319906934,0.334916865,0.22392394,0.466666667,0.081387177,0.155880195,0.354611054,0.20306424,0,0,0.351540392,0.457367745,0.67768535,0.444258481,0.384366714,0.409757557,0.13393819,0.231114804,0.238544312,0,0.112135442,0.216315336,0.461785244,0.464906933,0.231703939,0.267251923,0.165014819,0.343775964,0.336338317,0.9699402,0.278212363,7.294117647,25,23,21,15,14,10,7,5,1,1,1,1,0,0,0,0,0
X19,C22L12023A1,C_22_L1_2023,22,1,Degradation,T2,2023,E3,0.393783574,0.372921615,0.435581047,0.377777778,0.222750385,0.690293916,0.003663469,0.443770665,0,0.599679417,0.437521232,0.808297141,0.82373166,0.746503371,0.745796012,0.596537607,0,0.429821511,0.48472369,0.415437097,0.265405461,0.573681154,0.170336944,0.226655706,0.317943714,0.274716648,0.280219021,0.45127175,0.675337848,0.9651296,0.422902049,12,26,26,25,23,20,19,16,11,9,9,6,6,4,2,2,0,0
X20,C22L12024A1,C_22_L1_2024,22,1,Degradation,T3,2024,E3,0.662474881,0.111638955,0.268019171,0.155555556,0.482664525,0.645079172,0.102044434,0.155136666,0,0.407981282,0,0.590981191,0.771888407,0.757496325,0.582397161,0.599046229,0.156021944,0.368744452,0.215188324,0.326744724,0.044168752,0.105087322,0.085925117,0.015206531,0.09354646,0.115288956,0.08464268,0.313884846,0.531586672,0.9149594,0.30167037,8.117647059,22,18,15,14,13,11,10,9,8,7,4,3,2,2,0,0,0
X21,C23L12021A1,C_23_L1_2021,23,0,Undegradation,T0,2021,E2,0.577814627,0.534441805,0.409563419,0.555555556,0.839244995,0.503824654,0.988581397,0.234470137,0.433845092,0.498683036,0.839170553,0.198490576,0.407932993,0.231660239,0.227777084,0.527169843,0.730119777,0.097231877,0.370009712,0.332303425,0.386607848,0.113968617,0.962238812,0.655489309,0.402535741,0.534350543,0.388787539,0.436993962,0.396465751,0.9659515,0.476390652,13.47058824,28,27,26,23,23,22,18,13,12,8,6,6,5,4,4,2,2
X22,C23L12022A1,C_23_L1_2022,23,0,Undegradation,T1,2022,E2,0,0.591448931,0.400304863,0.733333333,0.265407038,0.780504013,0.691539132,0.523197299,0.426772469,0.229828175,0.633482089,0.0669334,0.188810731,0.117908843,0.218912086,0.23839961,0.486229183,0.110607715,0.457311553,0.377902608,0.477022113,0.339353912,0.612062955,0.322315052,0.510723579,0.577210683,0.43477691,0.179395138,0.026373326,0.9540258,0.379933336,10.52941176,26,24,22,19,18,16,15,12,9,7,5,3,2,1,0,0,0
X23,C23L12023A1,C_23_L1_2023,23,0,Undegradation,T2,2023,E2,0.211186881,0.638954869,0.479676278,0.644444444,0.180293038,0.439879168,0.619151535,0.427689998,0.414122247,0.377339546,0.602168803,0.261175998,0.037110345,0.344738921,0.079797323,1,0.691528761,1,1,0.79039213,1,1,0,0.059679969,1,1,1,0.18786251,0.297870824,0.9410144,0.544312538,15.35294118,25,25,23,22,20,19,18,15,14,14,14,10,9,9,8,8,8
X24,C23L12024A1,C_23_L1_2024,23,0,Undegradation,T3,2024,E2,0.670887387,0.524940618,0.462038186,0.444444444,0.431138361,0.590446476,0.692419783,0.051157502,0.562819849,0.533486239,0.641967524,0,0.262064346,0.204064429,0.30340018,0.421249606,0.649322149,0.277881691,0.402749659,0.746623498,0.425952357,0.274446611,0.533804965,0.278542519,0.44147134,0.507363156,0.513626644,0.018855153,0.204895027,0.9669162,0.416277921,11.82352941,26,26,26,24,20,19,19,13,12,7,5,3,1,0,0,0,0
X25,C28L12021A1,C_28_L1_2021,28,1,Degradation,T0,2021,E4,0.871827752,0.325415677,0.186346196,0.377777778,0.366588651,0.030153975,0.161208469,0.207833139,0,0.522463053,0.86063382,0.52887749,0.933609269,0.435016852,0.500066871,0.313582261,0.273455388,0.175601189,0.269463173,0.262961167,0.189857114,0.073347372,0.901108921,1,0.157361707,0.230043678,0.127737624,0.733630174,0.686033189,0.9316672,0.403517309,11.35294118,26,25,20,18,15,13,11,10,10,7,7,7,6,5,5,5,3
X26,C28L12022A1,C_28_L1_2022,28,1,Degradation,T1,2022,E4,0.381035437,0.35391924,0.365028678,0.466666667,0,0.153599812,0.056696535,0.18544796,0,0.346821776,0.500545925,0.821402594,0.88935931,0.706195014,0.479265191,0.385371332,0.078337086,0.172971104,0.163085749,0.131833178,0.062468949,0.082273774,0.653534528,0.591806757,0.202458879,0.250596441,0.02857133,0.706002312,0.749040334,0.9239137,0.343597789,9.529411765,22,21,17,16,15,14,10,10,8,7,6,6,5,2,2,1,0
X27,C28L12023A1,C_28_L1_2023,28,1,Degradation,T2,2023,E4,0.456630074,0.287410926,0.215104894,0.2,0.2953802,0.151023932,0.05002934,0.344944337,0,0.534728941,0.402990222,0.601912443,0.664530707,0.573031303,0.699406851,0.494507509,0.07365249,0.321746737,0.398194341,0.640782605,0.163057045,0.460875246,0.356288992,0.105985571,0.213360138,0.171395328,0.223678181,0.368131293,0.482643966,0.9573505,0.343152538,9.352941176,26,25,22,18,16,14,11,10,6,5,4,2,0,0,0,0,0
X28,C28L12024A1,C_28_L1_2024,28,1,Degradation,T3,2024,E4,0.791641877,0.033254157,0.17982871,0.066666667,0.464093639,0.499748871,0.149230131,0.240346618,0,0.647800886,0.346736055,0.721412045,0.688005687,0.596087253,0.620128498,0.388745635,0.18645535,0.304341568,0.313520216,0.54038781,0.139486232,0.283499034,0.330721536,0.138283162,0.196423289,0.189498771,0.216762563,0.531754771,0.596347166,0.9475875,0.358662352,9.529411765,26,23,19,17,16,12,11,11,9,7,5,3,2,1,0,0,0
X29,C30L12021A1,C_30_L1_2021,30,0,Undegradation,T0,2021,E6,0.956969012,0.600950119,0.115295046,0.555555556,0.84371253,0.068214339,0.769153913,0.611436201,0.455637974,0.456460304,0.782512854,0.147864664,0.131542178,0,0.064922565,0.32960075,0.638175328,0.183831965,0.602390605,0.245086415,0.493067724,0.291920955,0.957223239,0.533768512,0.687465143,0.767250259,0.622557226,0.227435646,0.18681811,0.9459274,0.459545487,13.11764706,26,23,21,19,18,17,17,17,14,13,12,7,6,6,3,2,2
X30,C30L12022A1,C_30_L1_2022,30,0,Undegradation,T1,2022,E6,0.316257196,0.667458432,0.22392394,0.644444444,0.060151658,0.742060748,0.609959559,0.325683627,0.412742223,0.359000573,0.619258911,0.202658307,0.205937097,0.090709013,0.230381559,0.059938116,0.361895615,0.105879318,0.475236917,0.223902516,0.328473532,0.148734701,0.690530678,0.285245584,0.29205878,0.455141142,0.313195992,0.20025335,0.093782724,0.9472073,0.336030905,9,25,23,23,17,15,11,9,8,6,6,6,3,1,0,0,0,0
X31,C30L12023A1,C_30_L1_2023,30,0,Undegradation,T2,2023,E6,0.39505566,0.743467933,0.585504832,0.644444444,0.127131879,0.316006325,0.558036635,0.564630444,0.419354839,0.460448297,0.470588962,0.147661341,0,0.215516869,0.127549094,0.569322764,0.753791654,0.513558992,0.751270372,0.691584392,0.653571363,0.782336498,0.394071449,0.11325306,0.694396332,0.789069184,0.726578137,0.065700442,0.165706646,0.9581175,0.463434788,13.35294118,27,23,22,21,21,20,18,17,15,14,10,9,6,4,0,0,0
X32,C30L12024A1,C_30_L1_2024,30,0,Undegradation,T3,2024,E6,0.830338456,0.211401425,0.06518111,0.177777778,0.538981743,0.524189105,0.544347372,0.309830695,0.753953194,0.529634368,0.585847509,0.018541824,0.166687251,0.159046922,0.189795246,0.244035113,0.481883822,0.236800776,0.52877267,0.575990418,0.406957029,0.335924837,0.506756165,0.235157621,0.527065538,0.596365808,0.561053762,0.014955931,0.180170171,0.9452576,0.380601505,10.52941176,26,26,21,17,17,15,15,14,13,6,2,2,2,2,1,0,0
X33,C34L12021A1,C_34_L1_2021,34,0,Undegradation,T0,2021,E3,0.827530746,0.752969121,0.393357352,0.644444444,1,0.233519741,0.913979859,0.309243841,0.497038698,0.456432983,0.739989592,0.266159573,0.291398921,0.271191794,0.141791949,0.468668806,0.667374307,0.218034529,0.571683209,0.478710695,0.496526449,0.38503086,1,0.581525957,0.702548088,0.704263869,0.56877529,0.518389414,0.559394372,0.9728402,0.539999119,15.70588235,29,28,28,26,23,22,20,20,15,14,10,9,8,5,4,3,3
X34,C34L12022A1,C_34_L1_2022,34,0,Undegradation,T1,2022,E3,0.285634572,0.781472684,0.303295355,0.822222222,0.046689862,0.829835635,0.529775593,0.521921207,0.426599965,0.08045934,0.566904116,0.041589181,0.117699102,0.171833048,0.11199158,0.367747378,0.480330365,0.144911057,0.412117306,0.125590814,0.453074449,0.181085856,0.601996674,0.269277394,0.451462518,0.626490799,0.405924643,0.208525148,0,0.9381741,0.357464064,9.941176471,25,21,19,18,16,15,14,11,8,6,5,3,3,3,2,0,0
X35,C34L12023A1,C_34_L1_2023,34,0,Undegradation,T2,2023,E3,0.344194097,0.610451306,0.470857232,0.466666667,0.133562494,0.119557024,0.555150266,0.45497664,0.383071704,0.517278672,0.469130053,0.470938399,0.232683596,0.266548425,0.532151134,0.278355094,0.633237954,0.295442457,0.606376118,1,0.398108719,0.739320349,0.550473716,0.156376762,0.548094431,0.479685314,0.543407579,0.187731652,0.266337976,0.9706777,0.43828158,12.29411765,29,27,25,24,20,19,17,17,11,7,5,2,2,1,1,1,1
X36,C34L12024A1,C_34_L1_2024,34,0,Undegradation,T3,2024,E3,0.744449863,0.501187648,0.400304863,0.444444444,0.474992964,0.503164408,0.621422941,0.298540777,0.539474441,0.491099018,0.491132,0.061429777,0.10090571,0.215921907,0.155970552,0.352680142,0.533102876,0.270056738,0.593943836,0.513831597,0.539694427,0.283295086,0.408173467,0.202306429,0.570650797,0.622095823,0.582067544,0.081369231,0.099042627,0.9627739,0.403336274,11.23529412,26,25,24,22,19,19,18,15,12,6,3,1,1,0,0,0,0
X37,C36L12021A1,C_36_L1_2021,36,1,Degradation,T0,2021,E1,1,0.458432304,0,0.466666667,0.357641782,0.115983687,0.097296012,0,0,0.495092438,0.959602342,0.79206383,0.93634032,0.672110257,0.470829068,0.62017147,0.22944389,0.187988149,0.538938906,0.506024699,0.285386049,0.492630419,0.816050134,0.665921446,0.617318086,0.465283962,0.351181629,1,1,0.9616872,0.503393019,14.58823529,25,24,23,22,21,21,19,19,13,11,11,9,7,7,6,5,5
X38,C36L12022A1,C_36_L1_2022,36,1,Degradation,T1,2022,E1,0.68625408,0.562945368,0.162190617,0.644444444,0.130171556,0.162008292,0,0.595281416,0,0.695850253,0.592245216,0.493969,0.619942722,0.593485982,0.319088404,0.617066354,0.138051988,0.144464024,0.545134267,0.334538717,0.232783423,0.466303664,0.438219621,0.318303378,0.409243912,0.400958802,0.310408549,0.5086722,0.430927103,0.9704267,0.398377702,11.11764706,27,24,22,21,21,17,17,13,11,9,5,2,0,0,0,0,0
X39,C36L12023A1,C_36_L1_2023,36,1,Degradation,T2,2023,E1,0.592538369,0.296912114,0.356209632,0.288888889,0.073821676,0.426545608,0.057584649,0.297182038,0,0.326238114,0.147209397,0.482819718,0.536260255,0.760439528,0.543200245,0.633041226,0.069053074,0.391205289,0.283662495,0.513370427,0.154106764,0.333050303,0.030982942,0,0.203871638,0.240464114,0.187787268,0.305183704,0.4435465,0.9483584,0.309488827,8.117647059,23,22,20,18,14,11,9,7,6,3,2,1,1,1,0,0,0
X40,C36L12024A1,C_36_L1_2024,36,1,Degradation,T3,2024,E1,0.882028269,0.054631829,0.22392394,0.044444444,0.47425201,0.404641447,0.184157622,0.160227645,0,0.777131165,0.284093304,0.964946744,1,1,0.879507595,0.722301611,0.048216645,0.494688735,0.348824466,0.538124509,0.085270589,0.391683124,0.325580096,0.107498626,0.279528141,0.188970162,0.160973148,0.77397937,0.90833016,0.9195402,0.438205358,12.29411765,24,23,19,18,16,14,13,12,10,9,9,9,9,8,6,6,4
X41,C4L12021A1,C_4_L1_2021,4,0,Undegradation,T0,2021,E4,0.880037412,0.895486936,0.479493413,1,0.859739268,0.192691477,0.889302989,0.515599112,0.664079121,0.292415079,0.693598466,0.121439632,0.098056618,0.168871873,0.200313906,0.90662917,0.725569495,0.661693884,0.711707907,0.422115453,0.723303289,0.652665686,0.295331427,0.347172556,0.886401594,0.868630203,0.821674873,0.164452791,0.344545862,0.9573305,0.568379982,16.70588235,28,27,24,23,21,19,19,18,17,16,16,16,12,9,9,8,2
X42,C4L12022A1,C_4_L1_2022,4,0,Undegradation,T1,2022,E4,0.193487772,0.990498812,0.559047693,1,0.100156882,0.799658139,0.581159305,0.419095754,0.444482779,0.192316416,0.573385368,0.23073857,0.249711728,0.250447595,0.336507268,0.107413514,0.44060674,0.131954584,0.500451883,0.4051525,0.403635347,0.380051136,0.627633534,0.302968454,0.516399668,0.533394135,0.450769904,0.201521044,0.343580334,0.9582507,0.42297334,11.76470588,29,26,24,21,20,17,16,11,10,7,4,3,3,3,2,2,2
X43,C4L12023A1,C_4_L1_2023,4,0,Undegradation,T2,2023,E4,0.15901088,1,0.832438123,0.822222222,0.120333531,0.682388091,0.519403695,0.571322766,0.385774251,0.260509251,0.751438926,0.121345884,0.226184823,0.264706112,0.101967975,0.477140272,1,0.132808625,0.514564189,0.379268509,0.540704228,0.192528705,0.879874334,0.602208699,0.777647499,0.780671913,0.558059272,0.318360793,0.227131836,0.9490822,0.489655704,14.05882353,29,25,23,21,19,18,16,16,15,12,10,9,8,8,5,3,2
X44,C4L12024A1,C_4_L1_2024,4,0,Undegradation,T3,2024,E4,0.398321842,0.560570071,0.382666771,0.466666667,0.515179766,0.710264133,0.642748861,0.262492566,0.607670634,0.582153895,0.734420191,0.080510122,0.110056483,0.218208586,0.230241208,0.542979251,0.549633248,0.473310449,0.813556522,0.754353491,0.699502807,0.589365917,0.354025743,0.29169591,0.829870449,0.733715548,0.750673945,0.115463436,0.378171059,0.967059,0.495809985,14.35294118,28,26,26,24,22,22,18,18,16,13,10,8,7,4,2,0,0
X45,C5L12021A1,C_5_L1_2021,5,1,Degradation,T0,2021,E5,0.912592295,0.420427553,0.225414503,0.377777778,0.42810148,0.367771474,0.191182301,0.407033949,0,0.364101629,0.243795976,0.777959216,0.629795539,0.583485674,0.857561231,0.392956053,0.178007176,0.534724724,0.403313951,0.390525016,0.14716538,0.487698681,0.063260127,0.057207815,0.320962374,0.302452888,0.293920939,0.375527806,0.679468432,0.9578367,0.393592826,10.94117647,26,25,23,21,20,18,12,8,7,6,5,4,3,3,2,2,1
X46,C5L12022A1,C_5_L1_2022,5,1,Degradation,T1,2022,E5,0.686741322,0.477434679,0.241562032,0.555555556,0.198458351,0.138412496,0.122670685,1,0,0.164966077,0.478525228,0.536169097,0.662329084,0.409801667,0.351875249,0.187597051,0.168040226,0.105349988,0.259897111,0.158518465,0.096635139,0.160986868,0.491663793,0.425762816,0.182663954,0.300997886,0.106033884,0.486365288,0.488326853,0.9433492,0.332528995,8.823529412,27,23,16,15,14,13,12,10,5,4,3,3,1,1,1,1,1
X47,C5L12023A1,C_5_L1_2023,5,1,Degradation,T2,2023,E5,0.723561567,0.249406176,0.162190617,0.2,0.041018826,0.344808496,0.072365395,0.199337262,0,0.295959968,0.577175423,0.583730543,0.91537237,0.521472212,0.52706535,0.439314633,0.156281536,0.223271696,0.083146567,0.236487755,0.066529192,0.082141326,0.710630133,0.729266882,0.117723342,0.135819129,0.051947047,0.622514129,0.657829297,0.9170732,0.335391961,9,22,20,17,13,12,11,11,10,10,8,6,5,4,1,1,1,1
X48,C5L12024A1,C_5_L1_2024,5,1,Degradation,T3,2024,E5,0.893207215,0,0.153371571,0,0.728494263,0.419002487,0.174418225,0.355477038,0,0.394628832,0.392259653,0.544486861,0.593999797,0.598842795,0.48712754,0.558434797,0.110528959,0.39570561,0.505880885,0.419617903,0.260112896,0.452294128,0.200575819,0.24065006,0.437173825,0.392859531,0.337413428,0.394234213,0.528059334,0.973129,0.378236471,10.52941176,26,25,23,21,20,19,13,10,8,5,2,2,2,1,1,1,0
